"","Year","HEALTH_AUTHORITY","HOSPITAL_NAME","CATEGORY","WAITING","COMPLETED","COMPLETED_50TH_PERCENTILE","COMPLETED_90TH_PERCENTILE"
"26",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Skin and Soft Tissue System",384,528,9.225,34.1375
"27",2009,"Fraser","Abbotsford Regional Hospital And Cancer Centre","Urinary System",266,390,4.73333333333333,24.5
"28",2009,"Fraser","All Facilities","All Procedures",22901,62147,6,27.6
"29",2009,"Fraser","All Facilities","Cardiovascular System",362,1014,3.68,19.58
"30",2009,"Fraser","All Facilities","Digestive System",2545,7632,5.06,17.0733333333333
"31",2009,"Fraser","All Facilities","Ear, Nose, and Throat System",2188,4651,8.18,29.01
"32",2009,"Fraser","All Facilities","Endocrine System",58,356,4.6,13.8
"33",2009,"Fraser","All Facilities","Eye and Vision System",7016,17260,5.9,27.0333333333333
"34",2009,"Fraser","All Facilities","Female Reproductive System",2198,7674,5.01666666666667,18.1
"35",2009,"Fraser","All Facilities","General Procedures (Multiple Systems/Non-Specific)",379,1678,2.475,12.675
"36",2009,"Fraser","All Facilities","Male Reproductive System",837,2104,7.56666666666667,35.8333333333333
"37",2009,"Fraser","All Facilities","Musculoskeletal System",4507,10948,7.42,27.82
"38",2009,"Fraser","All Facilities","Nervous System",174,581,2.56666666666667,10.0333333333333
"39",2009,"Fraser","All Facilities","Respiratory System",49,288,2.1,5.5
"40",2009,"Fraser","All Facilities","Skin and Soft Tissue System",1503,4257,5.49,23.41
"41",2009,"Fraser","All Facilities","Urinary System",1101,3708,3.5,17.7666666666667
"42",2009,"Fraser","Burnaby Hospital","All Procedures",2886,7175,6.4,33
"43",2009,"Fraser","Burnaby Hospital","Cardiovascular System",5,6,1.2,2.4
"44",2009,"Fraser","Burnaby Hospital","Digestive System",267,721,6.63333333333333,21.1444444444444
"45",2009,"Fraser","Burnaby Hospital","Ear, Nose, and Throat System",454,778,6.34444444444444,31.3555555555556
"46",2009,"Fraser","Burnaby Hospital","Endocrine System",5,20,5.4,35.6
"47",2009,"Fraser","Burnaby Hospital","Eye and Vision System",1007,2258,5.13333333333333,39.7333333333333
"48",2009,"Fraser","Burnaby Hospital","Female Reproductive System",183,676,4.66,14.82
"49",2009,"Fraser","Burnaby Hospital","General Procedures (Multiple Systems/Non-Specific)",37,158,5.23333333333333,25.4
"50",2009,"Fraser","Burnaby Hospital","Male Reproductive System",227,410,4.55,16.55
"51",2009,"Fraser","Burnaby Hospital","Musculoskeletal System",526,1397,6.79230769230769,18.4153846153846
"52",2009,"Fraser","Burnaby Hospital","Nervous System",5,13,2.6,12.4
"53",2009,"Fraser","Burnaby Hospital","Skin and Soft Tissue System",108,264,5.6,17.1375
"54",2009,"Fraser","Burnaby Hospital","Urinary System",117,498,3.43333333333333,15.4333333333333
"55",2009,"Fraser","Chilliwack General Hospital","All Procedures",2473,7830,10,28
"56",2009,"Fraser","Chilliwack General Hospital","Cardiovascular System",5,35,0.9,2.5
"57",2009,"Fraser","Chilliwack General Hospital","Digestive System",102,612,3.87777777777778,10.5555555555556
"58",2009,"Fraser","Chilliwack General Hospital","Ear, Nose, and Throat System",163,428,9.075,16.8125
"59",2009,"Fraser","Chilliwack General Hospital","Endocrine System",5,5,3,3.5
"60",2009,"Fraser","Chilliwack General Hospital","Eye and Vision System",1694,4507,9.25,18.55
"61",2009,"Fraser","Chilliwack General Hospital","Female Reproductive System",197,722,5.4,16.75
"62",2009,"Fraser","Chilliwack General Hospital","General Procedures (Multiple Systems/Non-Specific)",20,74,3.425,11
"63",2009,"Fraser","Chilliwack General Hospital","Male Reproductive System",63,159,6.35,18.65
"64",2009,"Fraser","Chilliwack General Hospital","Musculoskeletal System",143,821,6.32727272727273,18.4181818181818
"65",2009,"Fraser","Chilliwack General Hospital","Nervous System",5,5,NA,NA
"66",2009,"Fraser","Chilliwack General Hospital","Skin and Soft Tissue System",21,161,3.675,14.725
"67",2009,"Fraser","Chilliwack General Hospital","Urinary System",113,330,4.06666666666667,14.7333333333333
"68",2009,"Fraser","Delta Hospital","All Procedures",981,4431,2.7,17
"69",2009,"Fraser","Delta Hospital","Cardiovascular System",15,38,5.8,11.3
"70",2009,"Fraser","Delta Hospital","Digestive System",151,1038,2.5,10.95
"71",2009,"Fraser","Delta Hospital","Ear, Nose, and Throat System",38,75,7.6,24.7
"72",2009,"Fraser","Delta Hospital","Endocrine System",5,0,NA,NA
"73",2009,"Fraser","Delta Hospital","Eye and Vision System",331,892,8.75,28.7
"74",2009,"Fraser","Delta Hospital","Female Reproductive System",113,650,2.2,6.84
"75",2009,"Fraser","Delta Hospital","General Procedures (Multiple Systems/Non-Specific)",10,57,3.3,12.8
"76",2009,"Fraser","Delta Hospital","Male Reproductive System",18,44,4.46666666666667,11.6
"77",2009,"Fraser","Delta Hospital","Musculoskeletal System",162,1040,3.3,12.4111111111111
"78",2009,"Fraser","Delta Hospital","Nervous System",0,5,NA,NA
"79",2009,"Fraser","Delta Hospital","Skin and Soft Tissue System",119,447,3.6,17.1125
"80",2009,"Fraser","Delta Hospital","Urinary System",54,170,2.16666666666667,4.8
"81",2009,"Fraser","Eagle Ridge Hospital","All Procedures",2691,5343,6.7,24.4
"82",2009,"Fraser","Eagle Ridge Hospital","Cardiovascular System",10,22,5,11.1
"83",2009,"Fraser","Eagle Ridge Hospital","Digestive System",440,871,6.41111111111111,14.7
"84",2009,"Fraser","Eagle Ridge Hospital","Ear, Nose, and Throat System",423,628,8.97142857142857,22.8
"85",2009,"Fraser","Eagle Ridge Hospital","Endocrine System",11,129,4,7.5
"86",2009,"Fraser","Eagle Ridge Hospital","Eye and Vision System",8,5,15.9,51.5
"87",2009,"Fraser","Eagle Ridge Hospital","Female Reproductive System",187,433,5.11666666666667,13.15
"88",2009,"Fraser","Eagle Ridge Hospital","General Procedures (Multiple Systems/Non-Specific)",134,333,2.9,10.875
"89",2009,"Fraser","Eagle Ridge Hospital","Male Reproductive System",34,197,14.85,27.25
"90",2009,"Fraser","Eagle Ridge Hospital","Musculoskeletal System",1017,1506,9.22307692307692,22.7384615384615
"91",2009,"Fraser","Eagle Ridge Hospital","Nervous System",53,124,7.4,24.1
"92",2009,"Fraser","Eagle Ridge Hospital","Skin and Soft Tissue System",317,760,7.06666666666667,22.9444444444444
"93",2009,"Fraser","Eagle Ridge Hospital","Urinary System",86,358,3.9,9.7
"94",2009,"Fraser","Langley Memorial Hospital","All Procedures",1510,6234,6,28.3
"95",2009,"Fraser","Langley Memorial Hospital","Cardiovascular System",0,5,NA,NA
"96",2009,"Fraser","Langley Memorial Hospital","Digestive System",202,815,5.33333333333333,21.0555555555556
"97",2009,"Fraser","Langley Memorial Hospital","Ear, Nose, and Throat System",120,458,7.45714285714286,15.6
"98",2009,"Fraser","Langley Memorial Hospital","Endocrine System",0,8,8.6,10.9
"99",2009,"Fraser","Langley Memorial Hospital","Eye and Vision System",335,1304,4.7,18.9
"100",2009,"Fraser","Langley Memorial Hospital","Female Reproductive System",204,945,7.56666666666667,19.3333333333333
"101",2009,"Fraser","Langley Memorial Hospital","General Procedures (Multiple Systems/Non-Specific)",21,123,2.425,14.8
"102",2009,"Fraser","Langley Memorial Hospital","Male Reproductive System",16,216,2.05,3.75
"103",2009,"Fraser","Langley Memorial Hospital","Musculoskeletal System",518,1498,15.3214285714286,48.7785714285714
"104",2009,"Fraser","Langley Memorial Hospital","Nervous System",5,5,NA,NA
"105",2009,"Fraser","Langley Memorial Hospital","Skin and Soft Tissue System",75,311,4.76,19.52
"106",2009,"Fraser","Langley Memorial Hospital","Urinary System",66,562,3.3,15
"107",2009,"Fraser","Mission Memorial Hospital","All Procedures",0,405,6,36.1
"108",2009,"Fraser","Mission Memorial Hospital","Cardiovascular System",0,41,43.9,70.3
"109",2009,"Fraser","Mission Memorial Hospital","Digestive System",0,41,5.65,25
"110",2009,"Fraser","Mission Memorial Hospital","Ear, Nose, and Throat System",0,133,11.15,18.85
"111",2009,"Fraser","Mission Memorial Hospital","Eye and Vision System",0,5,42.6,86.5
"112",2009,"Fraser","Mission Memorial Hospital","Female Reproductive System",0,35,11.95,26.55
"113",2009,"Fraser","Mission Memorial Hospital","General Procedures (Multiple Systems/Non-Specific)",0,10,NA,NA
"114",2009,"Fraser","Mission Memorial Hospital","Male Reproductive System",0,5,49.7,88.6
"115",2009,"Fraser","Mission Memorial Hospital","Musculoskeletal System",0,137,3.2,9.03333333333333
"116",2009,"Fraser","Mission Memorial Hospital","Nervous System",0,5,NA,NA
"117",2009,"Fraser","Mission Memorial Hospital","Skin and Soft Tissue System",0,39,32.15,39.45
"118",2009,"Fraser","Mission Memorial Hospital","Urinary System",0,5,NA,NA
"119",2009,"Fraser","Pattison Outpatient Centre","All Procedures",5,0,NA,NA
"120",2009,"Fraser","Pattison Outpatient Centre","Ear, Nose, and Throat System",5,0,NA,NA
"121",2009,"Fraser","Peace Arch Hospital","All Procedures",1846,3101,8.7,41.1
"122",2009,"Fraser","Peace Arch Hospital","Cardiovascular System",0,7,1,2.4
"123",2009,"Fraser","Peace Arch Hospital","Digestive System",228,583,6.7375,16.5
"124",2009,"Fraser","Peace Arch Hospital","Ear, Nose, and Throat System",52,130,8.25,17.75
"125",2009,"Fraser","Peace Arch Hospital","Endocrine System",5,5,NA,NA
"126",2009,"Fraser","Peace Arch Hospital","Eye and Vision System",615,734,14.85,32.3
"127",2009,"Fraser","Peace Arch Hospital","Female Reproductive System",181,513,6.61666666666667,18.7333333333333
"128",2009,"Fraser","Peace Arch Hospital","General Procedures (Multiple Systems/Non-Specific)",21,66,9.46666666666667,19.7
"129",2009,"Fraser","Peace Arch Hospital","Male Reproductive System",31,125,9.36666666666667,16.4
"130",2009,"Fraser","Peace Arch Hospital","Musculoskeletal System",644,507,18.3818181818182,41.0818181818182
"131",2009,"Fraser","Peace Arch Hospital","Nervous System",0,5,NA,NA
"132",2009,"Fraser","Peace Arch Hospital","Skin and Soft Tissue System",65,232,5.2,15.0714285714286
"133",2009,"Fraser","Peace Arch Hospital","Urinary System",41,224,4.96666666666667,16.2666666666667
"134",2009,"Fraser","Ridge Meadows Hospital","All Procedures",2197,6487,6.9,31.6
"135",2009,"Fraser","Ridge Meadows Hospital","Cardiovascular System",0,5,NA,NA
"136",2009,"Fraser","Ridge Meadows Hospital","Digestive System",126,591,4.42857142857143,17.6428571428571
"137",2009,"Fraser","Ridge Meadows Hospital","Ear, Nose, and Throat System",40,217,6.6,18
"138",2009,"Fraser","Ridge Meadows Hospital","Endocrine System",0,5,NA,NA
"139",2009,"Fraser","Ridge Meadows Hospital","Eye and Vision System",1658,3236,7.5,22.35
"140",2009,"Fraser","Ridge Meadows Hospital","Female Reproductive System",124,735,4.28333333333333,12.1166666666667
"141",2009,"Fraser","Ridge Meadows Hospital","General Procedures (Multiple Systems/Non-Specific)",21,148,2.05,10.1
"142",2009,"Fraser","Ridge Meadows Hospital","Male Reproductive System",15,120,3.55,7.7
"143",2009,"Fraser","Ridge Meadows Hospital","Musculoskeletal System",177,821,4.51818181818182,14.1272727272727
"144",2009,"Fraser","Ridge Meadows Hospital","Nervous System",5,10,4.5,11.7
"145",2009,"Fraser","Ridge Meadows Hospital","Skin and Soft Tissue System",40,278,2.7,10.82
"146",2009,"Fraser","Ridge Meadows Hospital","Urinary System",54,354,3.55,13.05
"147",2009,"Fraser","Royal Columbian Hospital","All Procedures",1139,4008,2.1,13.4
"148",2009,"Fraser","Royal Columbian Hospital","Cardiovascular System",176,389,2.74,14.56
"149",2009,"Fraser","Royal Columbian Hospital","Digestive System",159,601,5.775,15.75
"150",2009,"Fraser","Royal Columbian Hospital","Ear, Nose, and Throat System",20,18,8.6,65.3
"151",2009,"Fraser","Royal Columbian Hospital","Endocrine System",5,18,3.8,6.4
"152",2009,"Fraser","Royal Columbian Hospital","Female Reproductive System",121,650,3.48333333333333,8.73333333333333
"153",2009,"Fraser","Royal Columbian Hospital","General Procedures (Multiple Systems/Non-Specific)",42,240,1.525,8.7
"154",2009,"Fraser","Royal Columbian Hospital","Male Reproductive System",18,114,2.9,9.7
"155",2009,"Fraser","Royal Columbian Hospital","Musculoskeletal System",477,1139,3.75714285714286,14.75
"156",2009,"Fraser","Royal Columbian Hospital","Nervous System",94,378,2.33333333333333,9.96666666666667
"157",2009,"Fraser","Royal Columbian Hospital","Respiratory System",5,11,3.6,4.1
"158",2009,"Fraser","Royal Columbian Hospital","Skin and Soft Tissue System",56,292,2.11666666666667,5.83333333333333
"159",2009,"Fraser","Royal Columbian Hospital","Urinary System",41,183,3.3,11.05
"160",2009,"Fraser","Surrey Memorial Hospital","All Procedures",4801,12092,5.3,24.6
"161",2009,"Fraser","Surrey Memorial Hospital","Cardiovascular System",49,156,7.58,12.4
"162",2009,"Fraser","Surrey Memorial Hospital","Digestive System",664,1001,6.39230769230769,19.5384615384615
"163",2009,"Fraser","Surrey Memorial Hospital","Ear, Nose, and Throat System",753,1291,7.92,24.13
"164",2009,"Fraser","Surrey Memorial Hospital","Endocrine System",27,75,6,15.9
"165",2009,"Fraser","Surrey Memorial Hospital","Eye and Vision System",1358,4288,4.73333333333333,18.0666666666667
"166",2009,"Fraser","Surrey Memorial Hospital","Female Reproductive System",496,1335,6.76666666666667,20.0166666666667
"167",2009,"Fraser","Surrey Memorial Hospital","General Procedures (Multiple Systems/Non-Specific)",79,372,2.025,9.05
"168",2009,"Fraser","Surrey Memorial Hospital","Male Reproductive System",201,483,14.4,36.6666666666667
"169",2009,"Fraser","Surrey Memorial Hospital","Musculoskeletal System",480,1156,7.89166666666667,21.4916666666667
"170",2009,"Fraser","Surrey Memorial Hospital","Nervous System",19,42,1.15,8.4
"171",2009,"Fraser","Surrey Memorial Hospital","Respiratory System",48,277,1.93333333333333,5.33333333333333
"172",2009,"Fraser","Surrey Memorial Hospital","Skin and Soft Tissue System",371,987,6.12222222222222,21.9777777777778
"173",2009,"Fraser","Surrey Memorial Hospital","Urinary System",284,643,3.96666666666667,32
"174",2009,"Interior","100 Mile District General Hospital","All Procedures",11,33,14.1,26.5
"175",2009,"Interior","100 Mile District General Hospital","Digestive System",5,5,NA,NA
"176",2009,"Interior","100 Mile District General Hospital","Ear, Nose, and Throat System",10,30,15.8,27.7
"177",2009,"Interior","100 Mile District General Hospital","Female Reproductive System",0,5,NA,NA
"178",2009,"Interior","All Facilities","All Procedures",14828,40372,5.9,26.7
"179",2009,"Interior","All Facilities","Cardiovascular System",441,869,4.12,23.5
"180",2009,"Interior","All Facilities","Digestive System",1537,4892,6.7,19.0642857142857
"181",2009,"Interior","All Facilities","Ear, Nose, and Throat System",2401,3087,14.17,40.49
"182",2009,"Interior","All Facilities","Endocrine System",46,207,5.4,17.1
"183",2009,"Interior","All Facilities","Eye and Vision System",2040,8089,7.23333333333333,34.1
"184",2009,"Interior","All Facilities","Female Reproductive System",1097,5579,5.01666666666667,18.7833333333333
"185",2009,"Interior","All Facilities","General Procedures (Multiple Systems/Non-Specific)",281,1466,3.05,14.25
"186",2009,"Interior","All Facilities","Male Reproductive System",339,1106,7.15,24.15
"187",2009,"Interior","All Facilities","Musculoskeletal System",4827,9026,9.4625,32.80625
"188",2009,"Interior","All Facilities","Nervous System",349,422,7.36666666666667,21.7
"189",2009,"Interior","All Facilities","Respiratory System",30,377,3.3,5.2
"190",2009,"Interior","All Facilities","Skin and Soft Tissue System",731,2618,4.75,21.1
"191",2009,"Interior","All Facilities","Urinary System",717,2643,4.8,28.8
"192",2009,"Interior","Cariboo Memorial Hospital","All Procedures",73,1404,2.3,6
"193",2009,"Interior","Cariboo Memorial Hospital","Cardiovascular System",5,30,1.8,4.3
"194",2009,"Interior","Cariboo Memorial Hospital","Digestive System",28,380,1.97142857142857,5.17142857142857
"195",2009,"Interior","Cariboo Memorial Hospital","Ear, Nose, and Throat System",5,62,0.7,1.1
"196",2009,"Interior","Cariboo Memorial Hospital","Endocrine System",0,20,2.6,5.1
"197",2009,"Interior","Cariboo Memorial Hospital","Female Reproductive System",38,600,2.7,5.91666666666667
"198",2009,"Interior","Cariboo Memorial Hospital","General Procedures (Multiple Systems/Non-Specific)",10,78,2.56666666666667,4.96666666666667
"199",2009,"Interior","Cariboo Memorial Hospital","Male Reproductive System",5,5,NA,NA
"200",2009,"Interior","Cariboo Memorial Hospital","Musculoskeletal System",0,26,2.8,6.05
"201",2009,"Interior","Cariboo Memorial Hospital","Skin and Soft Tissue System",10,107,2.05,5.225
"202",2009,"Interior","Cariboo Memorial Hospital","Urinary System",10,123,2.4,6.4
"203",2009,"Interior","Creston Valley Hospital","All Procedures",8,44,4.5,15.6
"204",2009,"Interior","Creston Valley Hospital","Ear, Nose, and Throat System",5,17,6.6,19.4
"205",2009,"Interior","Creston Valley Hospital","Female Reproductive System",5,0,NA,NA
"206",2009,"Interior","Creston Valley Hospital","General Procedures (Multiple Systems/Non-Specific)",0,5,NA,NA
"207",2009,"Interior","Creston Valley Hospital","Male Reproductive System",5,11,4.7,18.3
"208",2009,"Interior","Creston Valley Hospital","Musculoskeletal System",5,8,2.5,9.1
"209",2009,"Interior","Creston Valley Hospital","Skin and Soft Tissue System",10,15,NA,NA
"210",2009,"Interior","East Kootenay Regional Hospital","All Procedures",1001,3573,5.4,19
"211",2009,"Interior","East Kootenay Regional Hospital","Cardiovascular System",27,34,10.3,51.7
"212",2009,"Interior","East Kootenay Regional Hospital","Digestive System",135,403,4.18333333333333,16.5
"213",2009,"Interior","East Kootenay Regional Hospital","Ear, Nose, and Throat System",178,437,9.4,25.2666666666667
"214",2009,"Interior","East Kootenay Regional Hospital","Endocrine System",5,5,3.6,14.5
"215",2009,"Interior","East Kootenay Regional Hospital","Eye and Vision System",106,1118,6.85,20.8
"216",2009,"Interior","East Kootenay Regional Hospital","Female Reproductive System",73,440,4.86666666666667,11.5
"217",2009,"Interior","East Kootenay Regional Hospital","General Procedures (Multiple Systems/Non-Specific)",31,91,2.6,11.4
"218",2009,"Interior","East Kootenay Regional Hospital","Male Reproductive System",43,96,12.5,22.55
"219",2009,"Interior","East Kootenay Regional Hospital","Musculoskeletal System",353,697,9.05384615384615,30.3846153846154
"220",2009,"Interior","East Kootenay Regional Hospital","Nervous System",5,5,NA,NA
"221",2009,"Interior","East Kootenay Regional Hospital","Skin and Soft Tissue System",47,131,2.86666666666667,16.2333333333333
"222",2009,"Interior","East Kootenay Regional Hospital","Urinary System",49,147,4.6,19.1
"223",2009,"Interior","Elk Valley Hospital","All Procedures",44,135,6.7,17.7
"224",2009,"Interior","Elk Valley Hospital","Cardiovascular System",5,7,10,12.2
"225",2009,"Interior","Elk Valley Hospital","Digestive System",28,57,5.2,11.75
"226",2009,"Interior","Elk Valley Hospital","Ear, Nose, and Throat System",5,16,7,15.6
"227",2009,"Interior","Elk Valley Hospital","Female Reproductive System",15,28,6.2,21.55
"228",2009,"Interior","Elk Valley Hospital","General Procedures (Multiple Systems/Non-Specific)",5,0,NA,NA
"229",2009,"Interior","Elk Valley Hospital","Musculoskeletal System",22,21,6.4,26.9
"230",2009,"Interior","Elk Valley Hospital","Skin and Soft Tissue System",10,15,7.3,11.2
"231",2009,"Interior","Elk Valley Hospital","Urinary System",5,5,18.1,26.9
"232",2009,"Interior","Golden And District General Hospital","All Procedures",25,187,1.1,2.4
"233",2009,"Interior","Golden And District General Hospital","Cardiovascular System",0,5,NA,NA
"234",2009,"Interior","Golden And District General Hospital","Digestive System",0,23,2,3.25
"235",2009,"Interior","Golden And District General Hospital","Ear, Nose, and Throat System",5,21,1.4,3.7
"236",2009,"Interior","Golden And District General Hospital","Female Reproductive System",0,6,0.4,0.6
"237",2009,"Interior","Golden And District General Hospital","General Procedures (Multiple Systems/Non-Specific)",0,5,NA,NA
"238",2009,"Interior","Golden And District General Hospital","Male Reproductive System",0,5,NA,NA
"239",2009,"Interior","Golden And District General Hospital","Musculoskeletal System",29,137,0.966666666666667,2.16666666666667
"240",2009,"Interior","Golden And District General Hospital","Skin and Soft Tissue System",0,10,NA,NA
"241",2009,"Interior","Kelowna General Hospital","All Procedures",4057,10398,6,26.3
"242",2009,"Interior","Kelowna General Hospital","Cardiovascular System",211,418,18.84,33.14
"243",2009,"Interior","Kelowna General Hospital","Digestive System",547,1057,9.57272727272727,25.1272727272727
"244",2009,"Interior","Kelowna General Hospital","Ear, Nose, and Throat System",406,572,13.27,40.61
"245",2009,"Interior","Kelowna General Hospital","Endocrine System",22,68,6.8,14.6
"246",2009,"Interior","Kelowna General Hospital","Eye and Vision System",539,1485,11.85,33.6
"247",2009,"Interior","Kelowna General Hospital","Female Reproductive System",410,1293,8.15,27.1166666666667
"248",2009,"Interior","Kelowna General Hospital","General Procedures (Multiple Systems/Non-Specific)",91,590,4.225,11
"249",2009,"Interior","Kelowna General Hospital","Male Reproductive System",46,295,6.25,14.75
"250",2009,"Interior","Kelowna General Hospital","Musculoskeletal System",1319,2606,8.60625,24.73125
"251",2009,"Interior","Kelowna General Hospital","Nervous System",38,122,3.26666666666667,14.7333333333333
"252",2009,"Interior","Kelowna General Hospital","Respiratory System",30,377,3.3,5.2
"253",2009,"Interior","Kelowna General Hospital","Skin and Soft Tissue System",308,893,4.08,19.06
"254",2009,"Interior","Kelowna General Hospital","Urinary System",121,641,4.8,17.7333333333333
"255",2009,"Interior","Kootenay Boundary Regional Hospital","All Procedures",1252,3179,7.1,27.3
"256",2009,"Interior","Kootenay Boundary Regional Hospital","Cardiovascular System",16,53,5.7,21.05
"257",2009,"Interior","Kootenay Boundary Regional Hospital","Digestive System",118,483,5.98888888888889,19.8555555555556
"258",2009,"Interior","Kootenay Boundary Regional Hospital","Ear, Nose, and Throat System",110,209,13.3714285714286,25.4285714285714
"259",2009,"Interior","Kootenay Boundary Regional Hospital","Endocrine System",5,16,4.1,19.9
"260",2009,"Interior","Kootenay Boundary Regional Hospital","Eye and Vision System",136,459,15.5,31.75
"261",2009,"Interior","Kootenay Boundary Regional Hospital","Female Reproductive System",64,367,4.28,12.86
"262",2009,"Interior","Kootenay Boundary Regional Hospital","General Procedures (Multiple Systems/Non-Specific)",24,92,3.06666666666667,19.8666666666667
"263",2009,"Interior","Kootenay Boundary Regional Hospital","Male Reproductive System",27,128,5.45,15.05
"264",2009,"Interior","Kootenay Boundary Regional Hospital","Musculoskeletal System",645,1023,9.48461538461538,33.2153846153846
"265",2009,"Interior","Kootenay Boundary Regional Hospital","Nervous System",5,9,10,31
"266",2009,"Interior","Kootenay Boundary Regional Hospital","Skin and Soft Tissue System",123,274,10.49,34.21
"267",2009,"Interior","Kootenay Boundary Regional Hospital","Urinary System",24,92,5.8,20.45
"268",2009,"Interior","Kootenay Lake Hospital","All Procedures",129,737,5.7,14.8
"269",2009,"Interior","Kootenay Lake Hospital","Digestive System",12,76,7.95,18.25
"270",2009,"Interior","Kootenay Lake Hospital","Ear, Nose, and Throat System",5,35,1.7,5.1
"271",2009,"Interior","Kootenay Lake Hospital","Eye and Vision System",44,272,6.7,15
"272",2009,"Interior","Kootenay Lake Hospital","Female Reproductive System",27,203,4.32,10.14
"273",2009,"Interior","Kootenay Lake Hospital","General Procedures (Multiple Systems/Non-Specific)",14,16,4.4,26.2
"274",2009,"Interior","Kootenay Lake Hospital","Male Reproductive System",5,5,NA,NA
"275",2009,"Interior","Kootenay Lake Hospital","Musculoskeletal System",22,87,8.225,17.925
"276",2009,"Interior","Kootenay Lake Hospital","Nervous System",0,5,NA,NA
"277",2009,"Interior","Kootenay Lake Hospital","Skin and Soft Tissue System",5,33,7.4,14.4
"278",2009,"Interior","Kootenay Lake Hospital","Urinary System",22,42,4.85,17.6
"279",2009,"Interior","Lillooet Hospital And Health Centre","All Procedures",8,33,6.9,32.3
"280",2009,"Interior","Lillooet Hospital And Health Centre","Digestive System",0,5,1.4,12.5
"281",2009,"Interior","Lillooet Hospital And Health Centre","Ear, Nose, and Throat System",6,13,22.3,33.9
"282",2009,"Interior","Lillooet Hospital And Health Centre","Female Reproductive System",5,10,NA,NA
"283",2009,"Interior","Lillooet Hospital And Health Centre","Musculoskeletal System",0,5,5.1,21.7
"284",2009,"Interior","Lillooet Hospital And Health Centre","Skin and Soft Tissue System",5,5,5.3,26.7
"285",2009,"Interior","Penticton Regional Hospital","All Procedures",923,3412,3.6,22
"286",2009,"Interior","Penticton Regional Hospital","Cardiovascular System",5,38,1.1,2.8
"287",2009,"Interior","Penticton Regional Hospital","Digestive System",152,507,3.25555555555556,12.6666666666667
"288",2009,"Interior","Penticton Regional Hospital","Ear, Nose, and Throat System",348,316,24.3571428571429,44.1285714285714
"289",2009,"Interior","Penticton Regional Hospital","Endocrine System",8,20,5.1,31.2
"290",2009,"Interior","Penticton Regional Hospital","Eye and Vision System",6,5,24.4,55
"291",2009,"Interior","Penticton Regional Hospital","Female Reproductive System",67,697,2.31666666666667,8.18333333333333
"292",2009,"Interior","Penticton Regional Hospital","General Procedures (Multiple Systems/Non-Specific)",22,103,2.5,6.575
"293",2009,"Interior","Penticton Regional Hospital","Male Reproductive System",24,147,9.9,24.9
